organization_name,donation_amount,donation_date,donation_frequency,donation_type,donor_category,first_donation_date,campaign_name,donation_purpose,contact_person,region
Evergreen Impact,33752.02,22/11/2023,Quarterly,One-time,Non-profit,27/04/2019,Disaster Relief,Education,Robert Williams,Europe
Innovative Giving,7007.95,10/10/2023,Annual,Recurring,Foundation,10/02/2023,Summer Giving,Social Services,Laura Wilson,South America
Visionary Solutions,29259.38,29/07/2024,Annual,One-time,Corporate,02/06/2021,Community Outreach,Research,Alex Williams,South America
United Charities,20793.94,18/01/2024,Monthly,Special Event,Non-profit,15/11/2022,Summer Giving,Social Services,Daniel Taylor,Africa
United Charities,1607.51,22/06/2024,Annual,Recurring,Corporate,11/05/2021,Research Grant,Education,Robert Garcia,North America
Global Foundation,9222.17,21/03/2021,Quarterly,One-time,Foundation,09/01/2021,Arts Support,Arts and Culture,Alex Miller,South America
Global Foundation,4223.6,11/10/2022,Monthly,Recurring,Corporate,01/04/2022,Summer Giving,Community Support,Sarah Johnson,Africa
United Charities,44500.5,12/06/2021,Monthly,One-time,Foundation,10/01/2016,Arts Support,Disaster Relief,Daniel Anderson,North America
Future Enterprises,36449.73,25/05/2024,Monthly,One-time,Foundation,05/05/2021,Holiday Appeal,Disaster Relief,Sarah Wilson,North America
Hope Partners,29299.12,25/08/2023,Annual,One-time,Corporate,05/04/2023,Education Initiative,Healthcare,Jane Garcia,Asia
United Charities,24347.21,23/03/2020,Quarterly,Special Event,Non-profit,16/12/2015,Year End Campaign,Environmental,John Wilson,Oceania
Charity Connect,23021.8,16/04/2017,Annual,Special Event,Foundation,31/08/2016,Community Outreach,Community Support,Jane Smith,Oceania
Evergreen Impact,219.55,19/05/2022,Monthly,Special Event,Foundation,21/02/2020,Arts Support,Social Services,Olivia Miller,North America
United Charities,568.34,10/11/2024,Monthly,One-time,Corporate,09/03/2023,Community Outreach,Environmental,Emily Rodriguez,Africa
Visionary Solutions,28786.02,05/12/2021,Monthly,Recurring,Foundation,27/03/2016,Summer Giving,Arts and Culture,Olivia Garcia,Middle East
Evergreen Impact,31924.44,03/02/2024,Quarterly,Special Event,Foundation,04/02/2021,Arts Support,Community Support,Sophia Garcia,North America
Community Builders,38134.28,08/09/2023,Annual,One-time,Non-profit,27/08/2023,Healthcare Fund,Community Support,Michael Johnson,South America
Charity Connect,27111.82,16/03/2024,Annual,One-time,Non-profit,23/04/2018,Spring Drive,Disaster Relief,Laura Brown,Asia
Pioneer Philanthropy,43851.29,29/08/2018,Annual,Recurring,Foundation,25/02/2017,Disaster Relief,Education,John Johnson,Middle East
Acme Corp,10318.39,22/02/2018,Annual,Recurring,Non-profit,09/06/2015,Holiday Appeal,Education,David Garcia,Europe
Global Foundation,11114.35,15/06/2023,Quarterly,One-time,Non-profit,04/07/2022,Community Outreach,Healthcare,Emily Smith,Africa
Pioneer Philanthropy,21160.02,05/11/2024,Quarterly,One-time,Foundation,15/11/2021,Disaster Relief,Healthcare,David Garcia,Asia
Charity Connect,19401.34,03/04/2021,Quarterly,One-time,Non-profit,26/04/2019,Research Grant,Education,Olivia Rodriguez,South America
Hope Partners,42466.36,23/02/2020,Monthly,Recurring,Non-profit,04/04/2018,Disaster Relief,Arts and Culture,Michael Anderson,Middle East
Future Enterprises,33654.07,08/12/2024,Monthly,Special Event,Corporate,13/03/2021,Spring Drive,Community Support,Emily Johnson,Europe
Future Enterprises,5480.23,10/03/2019,Quarterly,One-time,Corporate,08/09/2018,Arts Support,Arts and Culture,Laura Johnson,South America
Future Enterprises,47937.66,09/12/2022,Annual,Special Event,Corporate,16/08/2022,Year End Campaign,Environmental,Robert Miller,Oceania
Solidarity Trust,34239.44,06/12/2024,Monthly,Special Event,Non-profit,28/12/2023,Education Initiative,Arts and Culture,John Garcia,South America
Charity Connect,7055.08,01/10/2024,Monthly,Recurring,Corporate,19/11/2020,Arts Support,Arts and Culture,Emily Brown,Asia
Acme Corp,39791.88,26/08/2019,Monthly,Special Event,Corporate,04/02/2017,Summer Giving,Community Support,Michael Smith,Oceania
Solidarity Trust,39526.81,30/08/2020,Annual,One-time,Corporate,21/03/2018,Disaster Relief,Community Support,David Taylor,Oceania
Solidarity Trust,40483.05,03/08/2022,Annual,Special Event,Foundation,12/08/2019,Summer Giving,Research,Emily Taylor,South America
United Charities,41218.9,07/04/2021,Annual,Special Event,Non-profit,21/02/2018,Year End Campaign,Environmental,Daniel Anderson,South America
Evergreen Impact,13073.41,31/05/2022,Quarterly,Special Event,Foundation,11/04/2021,Education Initiative,Arts and Culture,David Smith,South America
Community Builders,13194.86,23/02/2024,Annual,Recurring,Non-profit,17/08/2019,Healthcare Fund,Community Support,Alex Taylor,Asia
Global Foundation,10302.81,29/01/2022,Annual,Recurring,Corporate,15/02/2019,Holiday Appeal,Education,Michael Wilson,Oceania
Solidarity Trust,49207.56,19/02/2025,Quarterly,Recurring,Corporate,15/09/2016,Year End Campaign,Arts and Culture,Jane Williams,Asia
Community Builders,958.79,23/06/2023,Monthly,Special Event,Corporate,14/05/2019,Disaster Relief,Education,Daniel Miller,Europe
Evergreen Impact,24087.25,13/09/2024,Annual,One-time,Foundation,07/03/2022,Arts Support,Arts and Culture,Olivia Davis,Africa
Future Enterprises,6559.62,25/10/2023,Annual,Special Event,Foundation,21/08/2022,Spring Drive,Disaster Relief,Daniel Davis,Oceania
Hope Partners,8064.65,30/07/2018,Monthly,One-time,Foundation,31/12/2017,Year End Campaign,Research,Jane Anderson,South America
Evergreen Impact,10206.25,17/04/2024,Monthly,Special Event,Corporate,05/03/2023,Year End Campaign,Community Support,Sophia Anderson,Asia
Innovative Giving,29529.72,03/02/2017,Quarterly,Special Event,Corporate,21/11/2016,Education Initiative,Education,Jane Miller,Africa
Charity Connect,48772.96,05/12/2015,Annual,Recurring,Corporate,24/02/2015,Summer Giving,Research,Emily Wilson,Europe
Global Foundation,33541.38,15/04/2019,Annual,Recurring,Foundation,12/03/2019,Education Initiative,Arts and Culture,Daniel Williams,Asia
Community Builders,8169.2,22/12/2019,Quarterly,One-time,Corporate,17/04/2017,Research Grant,Healthcare,Sarah Wilson,South America
Visionary Solutions,37032.05,27/05/2024,Quarterly,Special Event,Foundation,19/05/2019,Arts Support,Disaster Relief,Laura Taylor,Africa
Solidarity Trust,45981.27,05/08/2021,Quarterly,Special Event,Corporate,25/02/2021,Arts Support,Education,Michael Miller,Middle East
Acme Corp,6331.61,19/01/2024,Quarterly,One-time,Corporate,24/02/2022,Arts Support,Social Services,Emily Smith,Asia
United Charities,5302.16,03/07/2024,Quarterly,One-time,Non-profit,01/08/2021,Research Grant,Education,Jane Rodriguez,Asia
Evergreen Impact,44314.19,28/05/2024,Annual,Recurring,Foundation,10/02/2023,Disaster Relief,Environmental,Robert Rodriguez,Asia
Global Foundation,13146.35,04/05/2024,Annual,One-time,Non-profit,14/06/2019,Education Initiative,Community Support,Michael Jones,Europe
Acme Corp,33213.22,21/12/2022,Annual,Recurring,Corporate,21/04/2017,Spring Drive,Environmental,Alex Davis,Oceania
Pioneer Philanthropy,41350.75,07/04/2021,Annual,One-time,Non-profit,27/05/2020,Year End Campaign,Community Support,Laura Davis,South America
Charity Connect,30513.81,27/06/2019,Annual,Recurring,Non-profit,03/08/2018,Healthcare Fund,Community Support,Sarah Taylor,North America
United Charities,7494.79,28/01/2025,Quarterly,Special Event,Corporate,14/08/2023,Holiday Appeal,Environmental,Michael Anderson,North America
Innovative Giving,14564.45,09/07/2020,Monthly,Special Event,Corporate,24/09/2015,Arts Support,Disaster Relief,Laura Johnson,Asia
Pioneer Philanthropy,1886.48,25/01/2024,Monthly,Special Event,Foundation,29/09/2023,Community Outreach,Social Services,Sophia Williams,North America
Future Enterprises,2942.09,25/07/2024,Annual,Recurring,Foundation,18/04/2019,Community Outreach,Arts and Culture,David Rodriguez,North America
United Charities,5769.42,21/03/2021,Quarterly,Recurring,Foundation,30/08/2020,Spring Drive,Social Services,Jane Wilson,Africa
Future Enterprises,46980.09,27/03/2024,Annual,Special Event,Non-profit,21/02/2021,Summer Giving,Social Services,John Miller,Oceania
Visionary Solutions,15965.84,22/05/2024,Monthly,One-time,Foundation,31/08/2023,Healthcare Fund,Research,Emily Miller,North America
Acme Corp,39262.48,03/12/2023,Annual,Special Event,Corporate,22/10/2021,Summer Giving,Disaster Relief,David Anderson,Oceania
Charity Connect,28779.64,31/12/2015,Quarterly,Special Event,Corporate,06/05/2015,Holiday Appeal,Research,Alex Brown,Europe
Acme Corp,5755.75,29/09/2020,Monthly,One-time,Foundation,15/12/2018,Spring Drive,Arts and Culture,John Wilson,Europe
Global Foundation,36713.76,12/12/2023,Annual,One-time,Non-profit,25/03/2020,Holiday Appeal,Healthcare,Laura Brown,Asia
Future Enterprises,14474.85,22/10/2018,Quarterly,Special Event,Foundation,11/02/2015,Year End Campaign,Healthcare,Robert Johnson,North America
Innovative Giving,39177.2,15/01/2025,Annual,Special Event,Corporate,12/12/2020,Research Grant,Arts and Culture,Daniel Jones,North America
Acme Corp,47419.83,17/04/2020,Annual,Special Event,Corporate,11/11/2017,Healthcare Fund,Research,Daniel Garcia,Europe
Acme Corp,40664.82,31/07/2022,Annual,Recurring,Corporate,23/07/2017,Healthcare Fund,Environmental,Laura Brown,Oceania
United Charities,19524.72,09/05/2024,Monthly,Special Event,Corporate,23/07/2022,Education Initiative,Education,John Taylor,South America
Visionary Solutions,4361.97,23/05/2024,Monthly,Special Event,Corporate,23/08/2015,Year End Campaign,Healthcare,Sarah Davis,Africa
Solidarity Trust,48785.53,24/05/2021,Quarterly,Special Event,Foundation,12/10/2015,Holiday Appeal,Education,Olivia Jones,Oceania
Future Enterprises,6151.25,07/12/2024,Quarterly,One-time,Non-profit,03/02/2021,Spring Drive,Healthcare,John Williams,North America
Future Enterprises,1777.19,09/10/2020,Annual,Recurring,Corporate,26/03/2019,Disaster Relief,Arts and Culture,Emily Davis,Oceania
Innovative Giving,26865.32,16/08/2021,Annual,Special Event,Non-profit,25/02/2019,Disaster Relief,Research,John Williams,Africa
United Charities,41333.72,12/10/2022,Annual,One-time,Non-profit,29/04/2018,Spring Drive,Environmental,Olivia Anderson,Oceania
Evergreen Impact,30585.39,24/11/2022,Annual,Recurring,Foundation,20/05/2018,Year End Campaign,Community Support,Alex Brown,Africa
United Charities,2772.25,12/03/2024,Monthly,Recurring,Non-profit,06/08/2023,Disaster Relief,Environmental,Sarah Garcia,Africa
Visionary Solutions,27369.34,18/11/2023,Quarterly,Special Event,Corporate,26/12/2019,Research Grant,Community Support,Jane Anderson,Europe
Acme Corp,2909.41,05/02/2024,Annual,One-time,Foundation,18/08/2016,Community Outreach,Research,Sarah Johnson,Oceania
Acme Corp,38141.32,09/06/2018,Annual,Special Event,Non-profit,06/03/2017,Research Grant,Arts and Culture,Sarah Williams,North America
Global Foundation,16877.96,01/05/2024,Annual,Special Event,Corporate,08/12/2021,Healthcare Fund,Education,Sarah Johnson,Africa
Community Builders,31967.42,11/02/2023,Quarterly,Recurring,Corporate,26/06/2018,Disaster Relief,Education,John Wilson,Asia
Pioneer Philanthropy,41091.19,04/03/2023,Monthly,Special Event,Non-profit,27/09/2017,Community Outreach,Disaster Relief,Michael Anderson,Oceania
Global Foundation,16700.19,23/05/2020,Quarterly,Recurring,Foundation,30/03/2015,Disaster Relief,Social Services,Laura Smith,South America
Solidarity Trust,41550.24,04/11/2021,Monthly,One-time,Corporate,05/06/2020,Year End Campaign,Healthcare,David Rodriguez,South America
Evergreen Impact,3669.91,02/09/2024,Monthly,One-time,Non-profit,02/04/2023,Community Outreach,Education,Sophia Rodriguez,Middle East
Acme Corp,5888.08,05/07/2024,Monthly,One-time,Non-profit,01/05/2022,Spring Drive,Healthcare,Daniel Taylor,Asia
Visionary Solutions,2759.3,27/05/2023,Annual,Recurring,Non-profit,04/01/2022,Holiday Appeal,Community Support,Michael Jones,South America
Future Enterprises,29551.98,11/05/2019,Quarterly,Special Event,Corporate,25/05/2017,Year End Campaign,Disaster Relief,Sophia Wilson,Oceania
Charity Connect,32044.92,30/03/2016,Monthly,One-time,Foundation,09/03/2015,Summer Giving,Arts and Culture,Emily Taylor,Europe
Acme Corp,41851.83,09/06/2021,Quarterly,Recurring,Foundation,17/03/2019,Community Outreach,Disaster Relief,Daniel Wilson,Asia
Pioneer Philanthropy,42460.65,05/02/2021,Quarterly,Special Event,Corporate,30/12/2020,Summer Giving,Disaster Relief,Alex Williams,North America
Future Enterprises,47993.56,30/08/2024,Annual,Special Event,Corporate,22/05/2023,Healthcare Fund,Education,Jane Brown,Europe
Solidarity Trust,10119.76,18/06/2021,Quarterly,One-time,Non-profit,05/11/2016,Disaster Relief,Disaster Relief,Jane Jones,Middle East
Global Foundation,29849.46,17/11/2024,Monthly,Special Event,Corporate,07/12/2023,Community Outreach,Community Support,Sarah Jones,Africa
Solidarity Trust,5064.03,01/12/2023,Annual,Recurring,Non-profit,05/02/2017,Disaster Relief,Arts and Culture,Jane Smith,Africa
Charity Connect,13247.44,24/08/2024,Monthly,Recurring,Non-profit,09/10/2021,Summer Giving,Social Services,Sophia Williams,Oceania
Charity Connect,8065.66,13/09/2023,Annual,Recurring,Non-profit,12/03/2018,Holiday Appeal,Arts and Culture,Sarah Rodriguez,Middle East
Innovative Giving,28875.11,10/04/2024,Quarterly,One-time,Non-profit,22/10/2015,Research Grant,Community Support,Sophia Rodriguez,North America
Hope Partners,36740.14,12/02/2022,Monthly,Special Event,Foundation,24/11/2020,Summer Giving,Disaster Relief,David Rodriguez,North America
Innovative Giving,2126.41,25/09/2024,Monthly,Recurring,Non-profit,19/10/2019,Disaster Relief,Education,Sarah Brown,South America
Global Foundation,6230.69,31/05/2022,Monthly,Recurring,Corporate,30/05/2015,Holiday Appeal,Healthcare,Alex Smith,Middle East
United Charities,3263.86,31/10/2022,Annual,Recurring,Corporate,03/06/2021,Year End Campaign,Education,Robert Wilson,Middle East
Evergreen Impact,6265.7,12/02/2023,Quarterly,Recurring,Corporate,18/01/2016,Holiday Appeal,Environmental,Sophia Rodriguez,Europe
Evergreen Impact,38987.99,19/12/2023,Annual,One-time,Corporate,15/11/2015,Community Outreach,Environmental,Daniel Rodriguez,South America
Hope Partners,36293.1,27/07/2024,Monthly,Special Event,Corporate,15/04/2018,Research Grant,Community Support,Daniel Taylor,Europe
Solidarity Trust,40728.41,18/01/2020,Annual,Special Event,Non-profit,10/01/2017,Community Outreach,Environmental,Emily Garcia,Africa
Innovative Giving,38024.19,19/07/2020,Quarterly,Recurring,Non-profit,09/10/2016,Summer Giving,Community Support,Sarah Johnson,Africa
Hope Partners,34661.73,23/06/2023,Annual,Recurring,Corporate,22/04/2023,Research Grant,Education,Sophia Miller,Middle East
Global Foundation,18994.78,27/06/2022,Quarterly,Recurring,Non-profit,01/03/2021,Spring Drive,Education,Laura Johnson,Europe
Global Foundation,37578.48,28/12/2021,Quarterly,One-time,Corporate,17/08/2020,Community Outreach,Community Support,Sophia Anderson,Europe
Acme Corp,30104.1,03/12/2020,Monthly,Special Event,Non-profit,06/11/2015,Spring Drive,Research,Alex Miller,Africa
Future Enterprises,8996.68,02/07/2021,Annual,Recurring,Corporate,24/09/2018,Summer Giving,Social Services,Jane Jones,Oceania
Visionary Solutions,47493.1,20/11/2021,Annual,One-time,Corporate,30/09/2018,Spring Drive,Environmental,Robert Smith,Asia
Hope Partners,30656.67,14/04/2019,Annual,Recurring,Non-profit,18/02/2017,Holiday Appeal,Arts and Culture,Michael Rodriguez,North America
United Charities,32346.98,29/03/2023,Annual,Special Event,Non-profit,11/08/2021,Year End Campaign,Social Services,Michael Wilson,North America
Hope Partners,31892.61,16/10/2020,Quarterly,Recurring,Corporate,08/09/2020,Summer Giving,Community Support,Sarah Miller,Middle East
Hope Partners,36164.5,26/01/2023,Annual,One-time,Foundation,04/08/2022,Community Outreach,Healthcare,Laura Davis,Middle East
Acme Corp,25102.98,15/06/2021,Annual,One-time,Corporate,15/02/2019,Research Grant,Healthcare,Laura Rodriguez,Oceania
United Charities,48692.92,09/10/2024,Annual,One-time,Non-profit,23/02/2021,Research Grant,Arts and Culture,David Davis,Europe
Visionary Solutions,20587.33,07/11/2023,Quarterly,Special Event,Foundation,22/01/2015,Year End Campaign,Education,Michael Johnson,Africa
Acme Corp,28024.24,23/02/2021,Annual,Special Event,Non-profit,09/09/2017,Summer Giving,Social Services,David Brown,South America
Charity Connect,28655.72,01/11/2022,Quarterly,Recurring,Foundation,22/05/2017,Community Outreach,Community Support,Michael Rodriguez,Oceania
Solidarity Trust,35382.62,08/02/2017,Annual,One-time,Foundation,03/02/2015,Healthcare Fund,Healthcare,Jane Anderson,Asia
Hope Partners,40025.24,23/01/2023,Quarterly,Recurring,Foundation,17/11/2018,Holiday Appeal,Arts and Culture,Laura Smith,Oceania
Solidarity Trust,31121.15,13/05/2024,Monthly,One-time,Foundation,25/07/2022,Community Outreach,Environmental,Robert Taylor,Oceania
Evergreen Impact,44140.39,11/01/2025,Monthly,Special Event,Foundation,05/10/2020,Education Initiative,Disaster Relief,Daniel Rodriguez,South America
Evergreen Impact,16643.7,17/02/2025,Monthly,Recurring,Corporate,28/12/2021,Research Grant,Disaster Relief,Emily Jones,Oceania
Acme Corp,49065.5,08/07/2021,Monthly,Special Event,Corporate,05/08/2016,Education Initiative,Environmental,Robert Anderson,Africa
Charity Connect,23594.33,12/10/2024,Quarterly,Recurring,Non-profit,12/02/2018,Spring Drive,Education,Jane Garcia,Europe
Charity Connect,30803.94,12/03/2019,Quarterly,Recurring,Corporate,19/08/2015,Summer Giving,Research,David Smith,South America
Global Foundation,34031.27,23/10/2023,Quarterly,One-time,Corporate,05/04/2017,Healthcare Fund,Research,Robert Jones,North America
United Charities,42636.18,14/07/2024,Annual,Special Event,Non-profit,18/01/2018,Year End Campaign,Research,Alex Garcia,Europe
United Charities,42983.37,08/04/2023,Monthly,Recurring,Non-profit,14/06/2022,Holiday Appeal,Healthcare,Michael Davis,North America
Community Builders,6592.15,29/09/2020,Monthly,Recurring,Non-profit,12/09/2020,Disaster Relief,Research,Sarah Taylor,North America
Pioneer Philanthropy,1991.62,17/02/2023,Quarterly,One-time,Non-profit,14/09/2015,Disaster Relief,Social Services,John Garcia,Asia
Visionary Solutions,31768.46,28/09/2020,Annual,Special Event,Foundation,26/05/2020,Summer Giving,Arts and Culture,Olivia Williams,Africa
United Charities,33556.4,27/06/2022,Quarterly,Special Event,Corporate,05/06/2017,Education Initiative,Environmental,Robert Miller,Oceania
Innovative Giving,33642.42,06/04/2024,Monthly,Recurring,Foundation,29/10/2023,Arts Support,Social Services,Daniel Anderson,Middle East
Community Builders,24356.85,13/08/2023,Monthly,Recurring,Foundation,29/05/2022,Education Initiative,Education,Olivia Williams,Asia
Charity Connect,31056.53,24/07/2024,Monthly,Recurring,Non-profit,23/08/2021,Education Initiative,Healthcare,John Wilson,Oceania
Charity Connect,410.5,24/05/2022,Quarterly,Recurring,Non-profit,19/03/2020,Healthcare Fund,Social Services,Michael Brown,South America
Global Foundation,24090.42,22/08/2024,Monthly,Special Event,Foundation,31/07/2020,Holiday Appeal,Community Support,Emily Wilson,Middle East
Community Builders,8176.26,23/04/2021,Monthly,Special Event,Non-profit,21/03/2017,Disaster Relief,Healthcare,Olivia Anderson,South America
Innovative Giving,37758.97,19/10/2015,Annual,One-time,Non-profit,19/09/2015,Arts Support,Education,Sarah Brown,Europe
Solidarity Trust,37320.65,30/10/2024,Annual,Special Event,Non-profit,11/03/2018,Holiday Appeal,Disaster Relief,John Rodriguez,North America
Future Enterprises,3026.21,20/02/2022,Quarterly,Recurring,Corporate,25/01/2022,Summer Giving,Community Support,Sarah Rodriguez,South America
Evergreen Impact,18233.78,26/04/2020,Monthly,Recurring,Non-profit,31/01/2017,Arts Support,Arts and Culture,Laura Rodriguez,Europe
Hope Partners,21566.27,02/03/2022,Quarterly,Special Event,Non-profit,29/09/2020,Community Outreach,Environmental,Michael Taylor,Europe
Global Foundation,47743.8,20/11/2021,Monthly,Special Event,Foundation,19/08/2021,Community Outreach,Disaster Relief,Jane Johnson,Oceania
Hope Partners,28445.46,24/10/2021,Quarterly,Recurring,Corporate,05/05/2019,Holiday Appeal,Research,Jane Davis,Africa
Acme Corp,9782.51,28/01/2023,Annual,Special Event,Corporate,19/05/2022,Summer Giving,Education,Laura Williams,Middle East
Pioneer Philanthropy,3628.27,28/08/2024,Annual,One-time,Foundation,19/12/2023,Year End Campaign,Social Services,David Jones,Europe
United Charities,36060.79,04/09/2023,Monthly,Special Event,Corporate,06/10/2019,Arts Support,Environmental,John Miller,South America
Innovative Giving,16561.67,28/05/2023,Quarterly,Special Event,Corporate,25/05/2022,Community Outreach,Research,David Miller,Europe
United Charities,15553.62,16/11/2022,Annual,Special Event,Non-profit,16/10/2016,Research Grant,Social Services,Sophia Rodriguez,South America
Pioneer Philanthropy,21500.73,04/08/2020,Annual,Recurring,Corporate,22/02/2018,Year End Campaign,Healthcare,Daniel Anderson,South America
Innovative Giving,12247.1,06/04/2023,Monthly,Recurring,Foundation,03/01/2021,Research Grant,Social Services,David Smith,Africa
United Charities,15745.64,07/09/2022,Annual,Special Event,Foundation,01/02/2015,Holiday Appeal,Arts and Culture,Daniel Wilson,Oceania
Acme Corp,17988.78,12/01/2023,Monthly,One-time,Corporate,04/11/2020,Community Outreach,Social Services,Daniel Wilson,North America
Visionary Solutions,14984.94,15/10/2021,Annual,One-time,Corporate,15/04/2019,Research Grant,Community Support,David Johnson,Asia
Pioneer Philanthropy,29300.31,16/09/2023,Monthly,Recurring,Non-profit,04/07/2023,Education Initiative,Arts and Culture,Olivia Rodriguez,Middle East
Charity Connect,32875.14,15/10/2019,Annual,Recurring,Non-profit,16/03/2018,Healthcare Fund,Education,Michael Miller,North America
United Charities,1244.1,07/01/2016,Quarterly,Recurring,Non-profit,27/09/2015,Research Grant,Research,Jane Brown,Oceania
Acme Corp,5065.91,02/02/2022,Quarterly,Special Event,Foundation,29/08/2019,Research Grant,Healthcare,David Taylor,Asia
Future Enterprises,1827.52,07/05/2023,Quarterly,Special Event,Corporate,24/06/2019,Holiday Appeal,Arts and Culture,Laura Wilson,North America
United Charities,40219.26,04/04/2024,Quarterly,Special Event,Foundation,05/05/2021,Education Initiative,Research,Laura Smith,Africa
Visionary Solutions,32326.59,10/09/2018,Monthly,Recurring,Corporate,21/05/2018,Year End Campaign,Social Services,Sophia Jones,Oceania
United Charities,15484.29,27/12/2024,Annual,Special Event,Foundation,05/10/2016,Community Outreach,Education,Emily Miller,Middle East
Acme Corp,48023.96,09/02/2024,Annual,Special Event,Non-profit,03/04/2019,Holiday Appeal,Disaster Relief,Robert Wilson,Oceania
Acme Corp,30170.99,01/10/2015,Monthly,One-time,Non-profit,20/06/2015,Research Grant,Social Services,Emily Miller,North America
Innovative Giving,23831.76,11/02/2023,Annual,One-time,Non-profit,24/12/2016,Healthcare Fund,Disaster Relief,Robert Smith,Oceania
Global Foundation,41852.33,31/07/2020,Quarterly,One-time,Foundation,21/07/2015,Summer Giving,Environmental,Laura Smith,North America
Solidarity Trust,24689.48,14/10/2023,Monthly,Recurring,Non-profit,08/12/2022,Education Initiative,Healthcare,Laura Wilson,Asia
Evergreen Impact,11526.99,30/09/2022,Annual,One-time,Foundation,02/07/2019,Disaster Relief,Community Support,Michael Rodriguez,Europe
Future Enterprises,14226.5,17/10/2023,Monthly,One-time,Foundation,05/04/2023,Holiday Appeal,Disaster Relief,Daniel Rodriguez,Europe
Evergreen Impact,12185.08,06/12/2020,Monthly,One-time,Corporate,30/01/2018,Research Grant,Social Services,Sophia Brown,Africa
Innovative Giving,43994.13,17/10/2023,Quarterly,Recurring,Corporate,05/10/2020,Research Grant,Environmental,Sophia Brown,North America
